"","Name","Edition","City","Country","Owner","Seeker","Trader","Rarity","WillingnessToTrade","Popularity"
"678","2015 Blossoming Flowers Tumbler","Non-City Tumbler","Various","South Korea",2,0,1,0,0.5,0.00182315405651778
"679","2015 Anniversary Siren Ceramic Tumbler ( printed face)","Starbucks Anniversary Mugs","Various","Germany",13,2,2,0.00151860288534548,0.214285714285714,0.0118505013673655
"680","2015 Brown Siren Mug","Starbucks Anniversary Mugs","Various","Japan",15,0,0,0,0,0.0136736554238833
"681","2015 White Siren Mug","Starbucks Anniversary Mugs","Various","Japan",13,5,0,0.0113895216400911,0,0.0118505013673655
"682","2015 Anniversary Dynamic Siren demi","Starbucks Anniversary Mugs","Various","Japan",13,2,0,0.00455580865603645,0,0.0118505013673655
"683","2015 Anniversary Siren's Tail Demi","Starbucks Anniversary Mugs","Various","Japan",15,2,0,0.00455580865603645,0,0.0136736554238833
"684","Autumn Triangle Double wall glass cup","Limited Edition","Various","Japan",4,0,1,0,0.3,0.00364630811303555
"685","Leaf Mug","Limited Edition","Various","Japan",5,1,1,0.00113895216400911,0.25,0.00455788514129444
"686","2015 Speckled Golden Logo Mug","Limited Edition","Various","United Kingdom",8,0,1,0,0.166666666666667,0.0072926162260711
"687","2015 Brown Metallic Interior Logo Mug","Limited Edition","Various","United Kingdom",2,0,0,0,0,0.00182315405651778
"688","2015 Anniversary Metallic Siren Plate Tumbler","Starbucks Anniversary Mugs","Various","Taiwan",4,2,0,0.00455580865603645,0,0.00364630811303555
"689","2015 Anniversary Ceramic Siren Tumbler","Starbucks Anniversary Mugs","Various","Taiwan",17,4,2,0.00303720577069096,0.166666666666667,0.0154968094804011
"690","2015 Anniversary Old Logo Siren Mug","Starbucks Anniversary Mugs","Various","Taiwan",9,0,1,0,0.15,0.00820419325432999
"691","2015 Anniversary Siren Mug","Starbucks Anniversary Mugs","Various","Taiwan",8,4,1,0.00455580865603645,0.166666666666667,0.0072926162260711
"692","2015 Halloween Black Cat Mug","Holiday Mugs","Various","Taiwan",6,1,1,0.00113895216400911,0.214285714285714,0.00546946216955333
"693","2015 Halloween Witch Hat Mug","Holiday Mugs","Various","Taiwan",8,2,1,0.00227790432801822,0.166666666666667,0.0072926162260711
"694","2015 Halloween Dotted Pumpkin Mug","Holiday Mugs","Various","Taiwan",7,2,2,0.00151860288534548,0.375,0.00638103919781222
"695","Taiwan artsy series 3oz Demi Dajia","Undefined Series","Various","Taiwan",7,5,3,0.00284738041002278,0.5625,0.00638103919781222
"696","2015 Stainless Steel Anniversary Tumbler 470 ml","Starbucks Anniversary Mugs","Various","Japan",4,0,0,0,0,0.00364630811303555
"697","2015 Stainless Steel Anniversary Tumbler 330 ml","Starbucks Anniversary Mugs","Various","Japan",3,1,0,0.00227790432801822,0,0.00273473108477666
"698","2015 Anniversary Siren mug","Limited Edition","Various","Japan",8,1,1,0.00113895216400911,0.166666666666667,0.0072926162260711
"699","2015 Anniversary Siren Glass Mug","Undefined Series","Various","Japan",8,2,1,0.00227790432801822,0.166666666666667,0.0072926162260711
"700","2015 Mid Autumn Running Bunny Tumbler","Non-City Tumbler","Various","Taiwan",2,0,0,0,0,0.00182315405651778
"701","2015 Mid Autumn Festival Glass mug","Holiday Mugs","Various","Taiwan",8,0,1,0,0.166666666666667,0.0072926162260711
"702","2015 Mid Autumn Festival Purple Mug with Bunny Lid","Holiday Mugs","Various","Taiwan",3,0,0,0,0,0.00273473108477666
"703","2015 Mid Autumn Festival Burgundy Mug","Holiday Mugs","Various","Taiwan",6,0,2,0,0.428571428571429,0.00546946216955333
"704","Shanghai Tumbler Blue/White Version 2","City Tumbler","Shanghai","China",2,2,1,0.00227790432801822,0.5,0.00182315405651778
"705","Tel Aviv - Made in England, 2002","94 CITY MUG Collector Seris","Tel Aviv","Israel",3,9,0,0.020501138952164,0,0.00273473108477666
"706","Flat White Logo Mug","Exclusive Design","Various","United Kingdom",2,0,0,0,0,0.00182315405651778
"707","Double Wall Ceramic Tumbler","Non-City Tumbler","Various","Malaysia",1,1,0,0.00227790432801822,0,0.000911577028258888
"708","2015 Mid Autumn Purple Tumbler","Non-City Tumbler","Various","China",2,0,1,0,0.5,0.00182315405651778
"709","Mermaid Tumbler Black Malaysia","Non-City Tumbler","Various","Malaysia",1,0,0,0,0,0.000911577028258888
"710","Mermaid Tumbler White Malaysia","Non-City Tumbler","Various","Malaysia",1,0,0,0,0,0.000911577028258888
"711","Maddie Mug Short","Limited Edition","Various","China",1,2,0,0.00455580865603645,0,0.000911577028258888
"712","Maddie Mug Tall","Limited Edition","Various","China",1,2,0,0.00455580865603645,0,0.000911577028258888
"713","Tea Tumbler","Non-City Tumbler","Various","France",1,0,1,0,0.75,0.000911577028258888
"714","You Are Here in Michigan","13 You Are Here Series","Various","USA",97,99,8,0.0250569476082005,0.122448979591837,0.0884229717411121
"715","You Are Here in Maryland","13 You Are Here Series","Various","USA",121,83,15,0.0118166287015945,0.184426229508197,0.110300820419325
"716","2015 Korea Flower Mug","Limited Edition","Various","South Korea",7,4,0,0.00911161731207289,0,0.00638103919781222
"717","2015 Moon Festival Don Flora Rabbit and Moon Mug 12oz","Holiday Mugs","Various","China",4,2,1,0.00227790432801822,0.3,0.00364630811303555
"718","2015 Moon Festival Hide and Hop Mug 12oz","Holiday Mugs","Various","China",4,2,1,0.00227790432801822,0.3,0.00364630811303555
"719","2015 Moon Festival Chubby Rabbit 3oz","Holiday Mugs Mini","Various","China",6,4,2,0.00303720577069096,0.428571428571429,0.00546946216955333
"720","2015 Moon Festival Amusement Park set  8oz","Holiday Mugs","Various","China",4,2,1,0.00227790432801822,0.3,0.00364630811303555
"721","Xining","08 Icon Edition Mini","Xining","China",14,12,4,0.00546697038724374,0.4,0.0127620783956244
"722","Oktoberfest 2015 - Dirndl and Lederhosen","08 Icon Edition","Various","Germany",255,60,41,0.00325414904002603,0.240234375,0.232452142206016
"723","2015 Starry Night Glass","Limited Edition","Various","South Korea",4,2,0,0.00455580865603645,0,0.00364630811303555
"724","You Are Here Chicago Water Bottle","City Tumbler","Chicago","USA",15,6,4,0.00273348519362187,0.375,0.0136736554238833
"725","2015 Don Rabbit Mug 12oz","Holiday Mugs","Various","China",4,1,1,0.00113895216400911,0.3,0.00364630811303555
"726","2015 Rabbit's Imagination mug 8 oz","Holiday Mugs","Various","China",6,1,1,0.00113895216400911,0.214285714285714,0.00546946216955333
"727","2015 Harvest Song 8oz Mug","Holiday Mugs","Various","China",5,2,1,0.00227790432801822,0.25,0.00455788514129444
"728","2015 Mid Autumn Pourover Set","Holiday Mugs","Various","China",4,1,1,0.00113895216400911,0.3,0.00364630811303555
"729","Shantou - Peacock Flower","08 Icon Edition","Shantou","China",117,71,9,0.0161731207289294,0.114406779661017,0.10665451230629
"730","Xining - Yak","08 Icon Edition","Xining","China",133,67,13,0.0109013992840872,0.145522388059701,0.121239744758432
"731","You Are Here Florida Water Bottle","City Tumbler","Various","USA",13,5,0,0.0113895216400911,0,0.0118505013673655
"732","2015 Green Mosaic Glass","Undefined Series","Various","Taiwan",7,1,1,0.00113895216400911,0.1875,0.00638103919781222
"733","Paris II - Arc de Triomphe","08 Icon Edition","Paris","France",206,97,24,0.00883826879271071,0.173913043478261,0.187784867821331
"734","2015 Toronto Pride Tumbler","City Tumbler","Toronto","Canada",1,1,0,0.00227790432801822,0,0.000911577028258888
"735","Brunei Relief Mug","Relief Series","Various","Brunei",41,26,3,0.0148063781321185,0.107142857142857,0.0373746581586144
"736","2015 Moon Festival Over the moon Mug","Holiday Mugs","Various","China",3,1,0,0.00227790432801822,0,0.00273473108477666
"737","2015 Moon Festival Jade Rabbit Mug","Holiday Mugs","Various","China",3,0,1,0,0.375,0.00273473108477666
"738","2015 Shining Starry Night Mug","Holiday Mugs","Various","China",3,0,1,0,0.375,0.00273473108477666
"739","2015 Walking on the Moon Mug","Holiday Mugs","Various","China",4,2,1,0.00227790432801822,0.3,0.00364630811303555
"740","2015 Green Opaque Glass","Undefined Series","Various","Taiwan",5,2,2,0.00151860288534548,0.5,0.00455788514129444
"741","2015 Yellow Opaque Glass","Undefined Series","Various","Taiwan",4,2,2,0.00151860288534548,0.6,0.00364630811303555
"742","2015 Moon Festival Glass","Undefined Series","Various","Taiwan",3,1,1,0.00113895216400911,0.375,0.00273473108477666
"743","2015 Moon Festival Yellow Flat Mug","Holiday Mugs","Various","Taiwan",4,0,1,0,0.3,0.00364630811303555
"744","2015 Moon Festival Blue Tea Cup","Holiday Mugs","Various","Taiwan",5,0,1,0,0.25,0.00455788514129444
"745","2015 Moon Festival Bunny Relief Mug","Holiday Mugs","Various","Taiwan",5,0,1,0,0.25,0.00455788514129444
"746","2015 Moon Festival Mug with Laser-cut coaster","Holiday Mugs","Various","Taiwan",5,0,1,0,0.25,0.00455788514129444
"747","2015 Moon Festival Blue Moon Mug","Holiday Mugs","Various","Taiwan",3,0,1,0,0.375,0.00273473108477666
"748","2015 Mid Autumn Purple Floral Mug with Bunny Lid","Holiday Mugs","Various","Taiwan",3,3,0,0.00683371298405467,0,0.00273473108477666
"749","2015 Octagonal Mug White 300ml","Limited Edition","Various","Japan",10,2,1,0.00227790432801822,0.136363636363636,0.00911577028258888
"750","2015 Octagonal Mug Black 300ml","Limited Edition","Various","Japan",10,2,1,0.00227790432801822,0.136363636363636,0.00911577028258888
"751","2015 Taiwan Drive Thru Mug","Asian Artsy Design Mugs","Various","Taiwan",13,4,4,0.00182232346241458,0.428571428571429,0.0118505013673655
"752","2015 Green Stainless Steel Cold Cup","Limited Edition","Various","Germany",2,0,0,0,0,0.00182315405651778
"753","You Are Here San Francisco Water Bottle","City Tumbler","San Francisco","USA",22,4,2,0.00303720577069096,0.130434782608696,0.0200546946216955
"754","You Are Here Boston Water Bottle","City Tumbler","Boston","USA",17,6,1,0.00683371298405467,0.0833333333333333,0.0154968094804011
"755","You Are Here New York Water Bottle","City Tumbler","New York","USA",24,6,1,0.00683371298405467,0.06,0.0218778486782133
"756","Taiwan artsy series 16oz Dajia","Undefined Series","Taichung","Taiwan",8,9,1,0.010250569476082,0.166666666666667,0.0072926162260711
"757","You Are Here in Washington","13 You Are Here Series","Washington","USA",129,73,21,0.00755850072478774,0.242307692307692,0.117593436645397
"758","You Are Here in Oregon","13 You Are Here Series","Oregon","USA",114,70,16,0.00937960605654562,0.208695652173913,0.103919781221513
"759","Amsterdam II - Rijksmuseum","08 Icon Edition","Amsterdam","Netherlands",238,74,39,0.00421412300683371,0.244769874476987,0.216955332725615
"760","Berlin II - Berlin Bear","08 Icon Edition","Berlin","Germany",211,84,22,0.00831930276319699,0.155660377358491,0.192342752962625
"761","Switzerland II - Chalet","08 Icon Edition","Various","Switzerland",167,108,16,0.0144713922015275,0.142857142857143,0.152233363719234
"762","Germany II - Neuschwanstein Castle","08 Icon Edition","Various","Germany",272,62,48,0.00288224629259449,0.263736263736264,0.247948951686418
"763","England III - Stonehenge","08 Icon Edition","Various","United Kingdom",245,70,21,0.00724787740733071,0.128048780487805,0.223336371923428
"764","London II - Double Decker Bus","08 Icon Edition","London","United Kingdom",253,75,18,0.00899172761059825,0.106299212598425,0.230628988149499
"765","16 th Anniversary Black Stainless Steel tumbler","Non-City Tumbler","Various","South Korea",1,1,0,0.00227790432801822,0,0.000911577028258888
"766","16th Anniversary White Stainless Steel tumber","Non-City Tumbler","Various","South Korea",3,0,0,0,0,0.00273473108477666
"767","16th Anniversary Glass","Starbucks Anniversary Mugs","Various","South Korea",6,1,0,0.00227790432801822,0,0.00546946216955333
"768","16th Anniversary Mug","Starbucks Anniversary Mugs","Various","South Korea",7,2,1,0.00227790432801822,0.1875,0.00638103919781222
"769","2015 Stacking Brown Golden mug","Limited Edition","Various","Taiwan",4,1,1,0.00113895216400911,0.3,0.00364630811303555
"770","2015 Coffee Journey - Taiwan - Pink Stainless Steel MUG","Limited Edition","Taipei","Taiwan",4,2,1,0.00227790432801822,0.3,0.00364630811303555
"771","2015 Coffee Journey - Taiwan - Green Stainless Steel MUG","Limited Edition","Taipei","Taiwan",4,1,1,0.00113895216400911,0.3,0.00364630811303555
"772","Disneyland Diamond Celebration Tumbler","Non-City Tumbler","Various","USA",7,1,2,0.000759301442672741,0.375,0.00638103919781222
"773","Disneyland Diamond Celebration Ceramic Mug","Limited Edition","Various","USA",45,5,7,0.00142369020501139,0.228260869565217,0.04102096627165
"774","Shanghai Relief Mug v.2","Relief Series","Shanghai","China",45,19,6,0.00618288317604946,0.195652173913043,0.04102096627165
"775","You Are Here in Illinois","13 You Are Here Series","Various","USA",154,51,27,0.00414904002603319,0.261290322580645,0.140382862351869
"776","Reserve Stainless Steel Tumbler","Non-City Tumbler","Various","USA",3,2,0,0.00455580865603645,0,0.00273473108477666
"777","Yak-Wat-Jang","Asian Artsy Design Mugs","Bangkok","Thailand",3,9,0,0.020501138952164,0,0.00273473108477666
"778","White Cork Mug 18oz","Limited Edition","Various","China",1,0,0,0,0,0.000911577028258888
"779","White Sweet Heart Mug 16oz","Limited Edition","Various","China",2,1,0,0.00227790432801822,0,0.00182315405651778
"780","Black Sweet Heart Mug 16oz","Limited Edition","Various","China",3,0,1,0,0.375,0.00273473108477666
"781","Logo Stainless Steel Water Bottle","Undefined Series","Various","China",1,1,0,0.00227790432801822,0,0.000911577028258888
"782","Bottle Cool 17oz","Undefined Series","Various","China",2,0,0,0,0,0.00182315405651778
"783","2010 Starbucks Logo Mug 14oz","Undefined Series","Various","Vietnam",9,0,2,0,0.3,0.00820419325432999
"784","2015 Reserve glass","Undefined Series","Various","Japan",2,0,0,0,0,0.00182315405651778
"785","Christmas Gift","Christmas Mugs","Various","Japan",2,2,0,0.00455580865603645,0,0.00182315405651778
"786","You Are Here in New Jersey","13 You Are Here Series","New Jersey","USA",151,65,17,0.0082257656289547,0.167763157894737,0.137648131267092
"787","2014 Pair To Go Ceramic Cup with lid","Limited Edition","Various","Japan",2,2,0,0.00455580865603645,0,0.00182315405651778
"788","Latté bowl Yellow","Limited Edition","Various","Japan",1,4,1,0.00455580865603645,0.75,0.000911577028258888
"789","Latté bowl Green","Limited Edition","Various","Japan",1,4,1,0.00455580865603645,0.75,0.000911577028258888
"790","Handy stainless bottle Mount Fuji","City Tumbler","Yamanashi","Japan",2,1,0,0.00227790432801822,0,0.00182315405651778
"791","Stainless Steel Tumbler","Non-City Tumbler","Various","USA",8,0,1,0,0.166666666666667,0.0072926162260711
"792","Korea 2015 Sheep Tumbler","Non-City Tumbler","Various","South Korea",1,0,0,0,0,0.000911577028258888
"793","2014 Korea Art Tumbler","Non-City Tumbler","Various","South Korea",3,0,0,0,0,0.00273473108477666
"794","Demitasse Málaga Biznaga","08 Icon Edition Mini","Málaga","Spain",20,21,3,0.0119589977220957,0.214285714285714,0.0182315405651778
"795","Alice + Olivia Tumbler","Non-City Tumbler","Various","Japan",24,6,3,0.00341685649202733,0.18,0.0218778486782133
"796","You Are Here in Texas","13 You Are Here Series","Various","USA",173,56,27,0.00455580865603645,0.232758620689655,0.157702825888788
"797","Mermaid Stainless Steel Tumbler","Non-City Tumbler","Various","China",4,0,1,0,0.3,0.00364630811303555
"798","hunminjeongeum","Non-City Tumbler","Various","South Korea",2,0,0,0,0,0.00182315405651778
"799","2015 Kati Kati Blend Taster Cup","Mini Mugs","Various","USA",20,3,4,0.00136674259681093,0.285714285714286,0.0182315405651778
"800","alice + olivia Handy stainless bottle stripe","Non-City Tumbler","Various","Japan",8,2,4,0.000911161731207289,0.666666666666667,0.0072926162260711
"801","alice + olivia Stainless bottle Stacy face","Non-City Tumbler","Various","Japan",10,4,3,0.00227790432801822,0.409090909090909,0.00911577028258888
"802","Limited Edition Gold shine Swarovski Traveler Mug","Limited Edition","Various","USA",9,3,0,0.00683371298405467,0,0.00820419325432999
"803","Dragonboat Festival 2015","Asian Artsy Design Mugs","Various","Taiwan",8,0,0,0,0,0.0072926162260711
"804","2015 Earth Glass 2","Limited Edition","Various","Taiwan",2,2,0,0.00455580865603645,0,0.00182315405651778
"805","2015 Earth Logo glass 1","Limited Edition","Various","Taiwan",2,2,0,0.00455580865603645,0,0.00182315405651778
"806","2015 Animal Pattern Mug 2 14 oz","Limited Edition","Various","Taiwan",4,0,1,0,0.3,0.00364630811303555
"807","2015 Animal Pattern Mug 1 14oz","Limited Edition","Various","Taiwan",5,1,1,0.00113895216400911,0.25,0.00455788514129444
"808","2015 Safari Mug 2 12oz","Limited Edition","Various","Taiwan",4,0,1,0,0.3,0.00364630811303555
"809","2015 Safari Mug 1 12 oz","Limited Edition","Various","Taiwan",4,0,1,0,0.3,0.00364630811303555
"810","2015 African Pattern Mug 2 12oz","Limited Edition","Various","Taiwan",3,0,1,0,0.375,0.00273473108477666
"811","2015 African Pattern Mug 1 12 oz","Limited Edition","Various","Taiwan",3,0,1,0,0.375,0.00273473108477666
"812","2015 Heart Handle Siren Mug with Saucer 12oz","Holiday Mugs","Various","Taiwan",5,1,0,0.00227790432801822,0,0.00455788514129444
"813","2015 Set of Two Stackable Valentine Mugs 8oz","Holiday Mugs","Various","Taiwan",6,0,1,0,0.214285714285714,0.00546946216955333
"814","2015 Chinese Valentine's Day White Mug 12 oz","Holiday Mugs","Various","Taiwan",5,0,1,0,0.25,0.00455788514129444
"815","2015 Chinese Valentine's Day Black Mug","Holiday Mugs","Various","Taiwan",6,0,1,0,0.214285714285714,0.00546946216955333
"816","Starbucks Roastery Gray Striped Reserve Mug","Limited Edition","Seattle","USA",1,2,0,0.00455580865603645,0,0.000911577028258888
"817","Starbucks Roastery Cream Pattern Reserve Mug","Limited Edition","Seattle","USA",3,2,0,0.00455580865603645,0,0.00273473108477666
"818","Starbucks Roastery Black Pattern Reserve Mug","Limited Edition","Seattle","USA",3,2,0,0.00455580865603645,0,0.00273473108477666
"819","Lukang Artsy","Asian Artsy Design Mugs","Lukang","Taiwan",15,3,5,0.00113895216400911,0.46875,0.0136736554238833
"820","13th Anniversary","Starbucks Anniversary Mugs","Various","Indonesia",12,2,1,0.00227790432801822,0.115384615384615,0.0109389243391067
"821","Málaga - Biznaga Malaguena","08 Icon Edition","Málaga","Spain",163,100,10,0.020708221163802,0.0914634146341463,0.148587055606199
"822","Greece Tumbler","Non-City Tumbler","Various","Greece",2,0,1,0,0.5,0.00182315405651778
"823","2015 Summer in Korea Mug","Limited Edition","Various","South Korea",9,1,0,0.00227790432801822,0,0.00820419325432999
"824","2015 Stainless steel Whale Tumbler","Non-City Tumbler","Various","South Korea",4,0,0,0,0,0.00364630811303555
"825","2015 Whale demi Mug","Limited Edition","Various","South Korea",11,2,1,0.00227790432801822,0.125,0.0100273473108478
"826","2015 Whale Mug","Limited Edition","Various","South Korea",5,0,0,0,0,0.00455788514129444
"827","Brno demitasse","08 Icon Edition Mini","Brno","Czech Republic",36,17,6,0.00553205336804426,0.243243243243243,0.03281677301732
"828","Shanghai Steel Tumbler White","City Tumbler","Shanghai","China",3,2,1,0.00227790432801822,0.375,0.00273473108477666
"829","Shanghai Steel Tumbler Blue","City Tumbler","Shanghai","China",2,1,1,0.00113895216400911,0.5,0.00182315405651778
"830","Brno - Cathedral of St. Peter and Paul","08 Icon Edition","Brno","Czech Republic",219,60,26,0.00506200961781827,0.177272727272727,0.199635369188696
"831","Sip to Tradition, 2003","Limited Edition","Various","USA",3,2,0,0.00455580865603645,0,0.00273473108477666
"832","Floral Siren Mug 12oz","Limited Edition","Various","China",4,1,0,0.00227790432801822,0,0.00364630811303555
"833","Bamboo Mug 14oz","Limited Edition","Various","China",0,1,0,0.00227790432801822,0,0
"834","Greece Mug 12oz","Non-City Tumbler","Various","China",8,0,0,0,0,0.0072926162260711
"835","2015 Summer Ornament stacking Mug","Limited Edition","Various","Taiwan",5,2,2,0.00151860288534548,0.5,0.00455788514129444
"836","2015 Water Surface Stacking Mug","Limited Edition","Various","Taiwan",4,0,0,0,0,0.00364630811303555
"837","Hawaii Wave Coffee Plastic Tumbler","Non-City Tumbler","Hawaii","USA",3,0,0,0,0,0.00273473108477666
"838","Latin American Coffees from Starbucks, 2004","Coffee Origin Series","Various","USA",4,1,0,0.00227790432801822,0,0.00364630811303555
"839","Kenya Taster cup","Mini Mugs","Various","Japan",10,10,0,0.0227790432801822,0,0.00911577028258888
"840","Tottori","City Tumbler","Tottori","Japan",7,0,1,0,0.1875,0.00638103919781222
"841","Bodum Hand Blown Glass 12oz","Undefined Series","Various","China",2,1,0,0.00227790432801822,0,0.00182315405651778
"842","Bodum Hand Blown Glass 13.5oz","Undefined Series","Various","China",1,1,0,0.00227790432801822,0,0.000911577028258888
"843","Father's Day Mug Set","Limited Edition","Various","China",8,8,2,0.00607441154138193,0.333333333333333,0.0072926162260711
"844","Spring Flower Mug 10oz","Limited Edition","Hong Kong","China",2,2,0,0.00455580865603645,0,0.00182315405651778
"845","Quilted Double Wall with Petals 10oz","Non-City Tumbler","Hong Kong","China",13,3,1,0.00341685649202733,0.107142857142857,0.0118505013673655
"846","Vine leaves 140z","Limited Edition","Hong Kong","China",3,2,1,0.00227790432801822,0.375,0.00273473108477666
"847","Maddie Mug Venti","Limited Edition","Hong Kong","China",3,2,1,0.00227790432801822,0.375,0.00273473108477666
"848","Maddie Mug Grande","Limited Edition","Hong Kong","China",3,2,1,0.00227790432801822,0.375,0.00273473108477666
"849","Black-White Logo Mug 3oz","Limited Edition","Various","China",6,2,0,0.00455580865603645,0,0.00546946216955333
"850","Black-White Logo Mug 8oz","Limited Edition","Various","China",5,0,2,0,0.5,0.00455788514129444
"851","Black-White Logo Mug 12oz","Limited Edition","Various","China",5,0,2,0,0.5,0.00455788514129444
"852","Black-White Logo Mug 16oz","Limited Edition","Various","China",5,0,2,0,0.5,0.00455788514129444
"853","Black-White Logo Mug 20oz","Limited Edition","Various","China",4,1,1,0.00113895216400911,0.3,0.00364630811303555
"854","Liverpool - Royal Liver Building","08 Icon Edition","Liverpool","United Kingdom",205,101,14,0.0153378891419894,0.101941747572816,0.186873290793072
"855","2015 Tottori Mug","Japan Country Series","Tottori-Ken","Japan",29,18,3,0.010250569476082,0.15,0.0264357338195077
"856","2015 Orange Hand-dipped Etched Siren Mug","Limited Edition","Various","USA",3,0,0,0,0,0.00273473108477666
"857","Disney Parks Acerylic Tumbler","Undefined Series","Los Angeles","USA",7,0,2,0,0.375,0.00638103919781222
"858","Butterfly Thermos Tumbler","Non-City Tumbler","Various","South Korea",2,0,0,0,0,0.00182315405651778
"859","2015 Ritual Mug 3oz","Limited Edition","Various","South Korea",7,2,3,0.00113895216400911,0.5625,0.00638103919781222
"860","2015 Ritual Mug 8oz","Limited Edition","Various","South Korea",2,2,1,0.00227790432801822,0.5,0.00182315405651778
"861","2015 Ritual Mug 12oz","Limited Edition","Various","South Korea",2,2,1,0.00227790432801822,0.5,0.00182315405651778
"862","2015 Ritual Mug 14oz","Limited Edition","Various","South Korea",2,2,1,0.00227790432801822,0.5,0.00182315405651778
"863","World Coffee Blends, 1996","Coffee Blend Series","Various","USA",4,2,0,0.00455580865603645,0,0.00364630811303555
"864","KSA Floating Crown Logo","Limited Edition","Various","Saudi Arabia",4,2,0,0.00455580865603645,0,0.00364630811303555
"865","UNESCO WORLD HERITAGE MOUNT FUJI BLUE S/S NETWORKER MUG","Limited Edition","Yamanashi","Japan",4,0,1,0,0.3,0.00364630811303555
"866","2015 Stainless Steel Brushstroke Tumbler","Non-City Tumbler","Various","Germany",3,0,0,0,0,0.00273473108477666
"867","2015 Watercolour Cold Cup 16oz","Non-City Tumbler","Various","Germany",4,0,0,0,0,0.00364630811303555
"868","2015 Watercolour Mug Purple 12oz","Limited Edition","Various","Germany",4,2,1,0.00227790432801822,0.3,0.00364630811303555
"869","2015 Watercolour Mug Multi-Coloured 12oz","Limited Edition","Various","Germany",0,2,0,0.00455580865603645,0,0
"870","2015 Watercolour Mug Green 12oz","Limited Edition","Various","Germany",5,1,0,0.00227790432801822,0,0.00455788514129444
"871","2015 Ombré Mug Pink 12oz","Limited Edition","Various","Germany",3,1,0,0.00227790432801822,0,0.00273473108477666
"872","2015 Ombré Mug Orange 12oz","Limited Edition","Various","Germany",3,0,0,0,0,0.00273473108477666
"873","2015 Pink Sakura Mug","Limited Edition","Various","Taiwan",4,4,0,0.00911161731207289,0,0.00364630811303555
"874","2015 Pink Interior Logo Mug","Limited Edition","Various","Taiwan",2,4,1,0.00455580865603645,0.5,0.00182315405651778
"875","2015 Aroma Glass","Limited Edition","Various","Japan",3,2,0,0.00455580865603645,0,0.00273473108477666
"876","2015 Glass Mug 350ml","Limited Edition","Various","Japan",0,3,0,0.00683371298405467,0,0
"877","2015 Logo Cold Cup Tumbler Whip Blue","Non-City Tumbler","Various","Japan",3,0,0,0,0,0.00273473108477666
"878","2015 Retro Stripes Stackable Mug","Limited Edition","Various","Taiwan",6,0,2,0,0.428571428571429,0.00546946216955333
"879","2015 Woven Handle Mug 12oz","Limited Edition","Various","Taiwan",3,0,1,0,0.375,0.00273473108477666
"880","2015 Woven Basket Mug 12oz","Limited Edition","Various","Taiwan",3,0,1,0,0.375,0.00273473108477666
"881","Water Bottle","Non-City Tumbler","Various","USA",4,0,0,0,0,0.00364630811303555
"882","2015 Pink Summer Cream Cup 16oz","Non-City Tumbler","Various","China",1,1,0,0.00227790432801822,0,0.000911577028258888
"883","2015 Freezing Shine Mug 14oz","Limited Edition","Various","Taiwan",3,0,1,0,0.375,0.00273473108477666
"884","2015 Summer Glass B","Undefined Series","Various","Taiwan",8,0,1,0,0.166666666666667,0.0072926162260711
"885","2015 Summer Glass A","Limited Edition","Various","Taiwan",7,1,1,0.00113895216400911,0.1875,0.00638103919781222
"886","2015 Santorini Mug 12oz","Limited Edition","Various","Taiwan",4,0,2,0,0.6,0.00364630811303555
"887","2015 Ocean Wave Mug 12 oz","Limited Edition","Various","Taiwan",4,1,1,0.00113895216400911,0.3,0.00364630811303555
"888","2015 Summer Love Mug 12oz","Limited Edition","Various","Taiwan",4,2,1,0.00227790432801822,0.3,0.00364630811303555
"889","2015 Seaside Village Mug 12oz","Limited Edition","Various","Taiwan",4,0,1,0,0.3,0.00364630811303555
"890","2015 Ocean Dream Mugset","Limited Edition","Various","Taiwan",3,1,1,0.00113895216400911,0.375,0.00273473108477666
"891","2015 Coffee Stamp Sumatra Mug 14oz","Limited Edition","Various","Taiwan",4,0,1,0,0.3,0.00364630811303555
"892","2015 Coffee Stamp Kenya Mug 14 oz","Limited Edition","Various","Taiwan",3,1,1,0.00113895216400911,0.375,0.00273473108477666
"893","2015 Coffee Stamp Italian Roast 14oz Mug","Limited Edition","Various","Taiwan",4,0,1,0,0.3,0.00364630811303555
"894","Mianyang - Yuewang Tower","08 Icon Edition","Mianyang","China",137,67,10,0.0138745081797474,0.108695652173913,0.124886052871468
"895","2015 Puff To Go Tumbler 16oz","Non-City Tumbler","Various","Taiwan",5,0,1,0,0.25,0.00455788514129444
"896","Hong Kong 15th Anniversary Relief Tumbler","Undefined Series","Hong Kong","China",6,1,3,0.000569476082004556,0.642857142857143,0.00546946216955333
"897","16oz Anniversary Troy Stainless Steel Tumbler","Starbucks Anniversary Mugs","Hong Kong","China",1,0,1,0,0.75,0.000911577028258888
"898","12oz Meaningful Moment Stainless Steel Tumble","Starbucks Anniversary Mugs","Hong Kong","China",3,1,1,0.00113895216400911,0.375,0.00273473108477666
"899","Hong Kong 15th Anniversary Mug","Starbucks Anniversary Mugs","Hong Kong","China",24,2,6,0.000650829808005207,0.36,0.0218778486782133
"900","Thailand Floating Market","Asian Artsy Design Mugs","Bangkok","Thailand",6,5,0,0.0113895216400911,0,0.00546946216955333
"901","Sea Blue Mug 16oz","Holiday Mugs","Various","China",1,0,0,0,0,0.000911577028258888
